activate,1
animate,1
arouse,1
begin,1
breed,1
bring to pass,1
cause of,1
cause,1
compel,1
consequence of,1
cook up,1
create,1
depend,1
dream up,1
drive,1
effect,1
elicit,1
enable,1
energize,1
evoke,1
excite,1
fire up,1
generate,1
give rise to,1
impel,1
incite,1
induce,1
influence,1
inspire,1
instigate,1
introduce,1
kickoff,1
kindle,1
lead to,1
make,1
mobilize,1
motivate,1
open,1
originate,1
produce,1
prompt,1
propel,1
provoke,1
result in,1
result of,1
result,1
rouse,1
sow the seeds,1
spur,1
stimulate,1
turn on,1
work of,1
